Tweet_Text,Reply_Count,Retweet_Count,Like_Count,View_Count,Language,Source,Username,Location,year,month,day,hour,minute,weekday,Post_ID,ID_Source,predicted_label
@DOlusegun Nigeria's vaccine? Which university or research centre discovered this vaccine?,0.0,0.0,0.0,20.0,English,Twitter,Adeshola54,"Lagos, Nigeria",2024,4,14,18,7,Sunday,SYN_e4553fc92e4f9f8e,Synthetic_ID,Uncertain
I didn’t know humans got rabies vaccines.,0.0,0.0,1.0,81.0,English,Facebook,Laura Smith,"East, England",2024,6,4,9,18,Tuesday,Y29tbWVudDoxMTkxOTg4OTczMDI5MjI5XzE0OTM4NTY4ODE5NDM3NTM=,Platform_ID,Uncertain
Prep work for Plandemic II,0.0,0.0,1.0,81.0,English,Facebook,Justin Vesci,"Port Harcourt, Nigeria",2024,6,2,18,46,Sunday,Y29tbWVudDoxMjMzMDA0NzIyMjA3NzIwXzQxODY3NjIwODE2MDE1MTM=,Platform_ID,Misinformation
BAKA MA POLIO KAMI NYAN KAKA INJECT NALANG PALAGI HA!!!,0.0,0.0,1.0,81.0,English,Facebook,Axser Hansxz Lee,"Tucson, AZ",2025,8,23,11,26,Saturday,Y29tbWVudDo4MTgzMzc5MzA4MDA2NjlfMjY1NzkyNTE0MTIwOTYxNg==,Platform_ID,Uncertain
@NigeriaGov Imagine this amount going into our vaccine research and laboratory,0.0,0.0,1.0,0.0,English,Twitter,AgbomejiOladele,makes no difference ,2021,4,1,16,49,Thursday,SYN_7b68b298f157edb7,Synthetic_ID,Uncertain
Ha 300k vaccines that are free in northern 🤔🤔 Nigeria and incentives is also added to the care givers🤣🤣🤣.hee Lagos people you rich woo. Beside baby Talia is beautiful.,0.0,0.0,1.0,81.0,English,Facebook,Magdalene Azael Oksakei,All over the world ,2024,5,28,23,3,Tuesday,Y29tbWVudDo5MDQ0NTQwMzg1MjM4NzlfMTgxNTQ5MTQxOTIxMjcyMA==,Platform_ID,Uncertain
@WHOAFRO Malaria has a cure why the need for vaccine now?,0.0,2.0,4.0,59.0,English,Twitter,Manleychad1,United Arab Emirates,2024,1,22,16,37,Monday,SYN_9bf108f9153aaad9,Synthetic_ID,Uncertain
"Please we are 6 weeks already and I was told to give my baby paracetamol before going to take the immunization. 

What's your medical advice",0.0,0.0,1.0,81.0,Igbo,Facebook,Rose Ngene,SA.,2025,2,22,4,8,Saturday,Y29tbWVudDoxMjc0MTQ1OTUwMzM4ODcwXzIxNTAzMTY5NTIwNTU2MzI=,Platform_ID,Uncertain
"Stop the Silence on Female Genital Mutilation ! 

Did you know that #FGM can increase the risk of HPV infection? 

But here is the good news: by prioritizing HPV vaccination alongside our efforts to end FGM, we're taking a powerful step towards protecting the health of women and https://t.co/PkekV8kW4w",1.0,6.0,17.0,409.0,English,Twitter,VaccineNet_NG,"Lagos, Nigeria",2024,2,6,11,36,Tuesday,"=""1754816365133795657""",Platform_ID,Factual
"@WakeUpPatriott Yes. He hurt, and even killed millions of people because he thought he had the right to depoplulate the planet. There were other globalists who also partnered with the vaccine companes toward this horrible plot.  The COVID vaccine was delared to be a Crime Against Humanity in a",1.0,9.0,12.0,182.0,English,Twitter,kathiefitz1,Pacific Northwest,2025,11,3,20,7,Monday,SYN_2403d4a2dc9ef07b,Synthetic_ID,Factual
"@SaiKate108 @MERLINLORE_ My cousin told me yesterday that her longtime boyfriend turned up with Bells Palsy last month.  They are big-time Libs from Palm Springs, got the initial vaccines and boosters.  Are they suspicious?  I wouldn’t know.",0.0,0.0,1.0,128.0,English,Twitter,tree6500,Southwestern Arizona,2023,6,11,21,13,Sunday,SYN_fa390bc36bfdacd3,Synthetic_ID,Uncertain
"When will you give baby immunization, pls which month?",0.0,0.0,1.0,81.0,Igbo,Facebook,Somtochukwu Joy,"Abuja, Nigeria",2025,11,10,0,26,Monday,Y29tbWVudDo2ODcxNDE1Njc2MzY2NjJfNTI1OTczMDAwNTQxOTMz,Platform_ID,Uncertain
"@LisettePollet Ouaip, les complotistes de tout genre ne se vaccineront pas, ils crèveront tous lors de la prochaine pandémie ou autres virus mortels, bon débarras, ça fera des cretins en moins. Oust du balais",0.0,0.0,0.0,15.0,French,Twitter,Pixies1873,"Windhoek, Namibia",2025,11,10,10,37,Monday,SYN_214aeb671b410138,Synthetic_ID,Uncertain
Immunization is not for the faint hearted o.... good to see you growing Tam Tam,0.0,0.0,1.0,81.0,Igbo,Facebook,Azeez Sherifat,"Lagos, Nigeria",2025,8,26,5,44,Tuesday,Y29tbWVudDo5MjM4MzMwMzk5MTkzMTJfMTMwODE2MDgyMzkxNjkyMA==,Platform_ID,Uncertain
@toluogunlesi Are we still keeping the vaccines in sub-zero temperature in this condition?,0.0,0.0,1.0,0.0,English,Twitter,akin_akinrin,Nigeria,2021,3,2,13,33,Tuesday,SYN_5a2cd49e4a7ed6a0,Synthetic_ID,Uncertain
"I'm 82, never vaccinated in my life. Raised 2 kids not vaccinated and that was a bit of a struggle. Today I'd have to home school.",0.0,0.0,1.0,81.0,English,Facebook,Faith Anderson,"Lagos, Nigeria",2025,4,10,4,45,Thursday,Y29tbWVudDoyNTMxNjM2MDc3MTMyMzQ0OV8zMjQ1Njk5NTk4OTI3MDY1,Platform_ID,Uncertain
"@NafdacAgency Weldone, destroy all fakes",0.0,0.0,0.0,367.0,English,Twitter,Sengodson,Nigeria,2025,2,21,19,29,Friday,SYN_bef1e99749e7e066,Synthetic_ID,Factual
"This could be revolutionary at helping cure cancer, but the crybabies that are afraid of needles like a little babies are never gonna take the vaccine because they saw a meme and the meme justifies they’re crying. They’re not whining, little baby cry babies, they’re just smart because the vaccine is a trick. The meme says so.",0.0,0.0,1.0,81.0,English,Facebook,Joe Honaker,"Lagos, Nigeria",2025,11,10,11,18,Monday,Y29tbWVudDoxMjEzNzkwNDc3MjczMzAyXzU5NDg0MzA0NzAyMDM1Ng==,Platform_ID,Misinformation
They have a jab called Covid Vax.. You don't live long enough to get cancer.,0.0,0.0,1.0,81.0,English,Facebook,Glen Hale,"Mumbai, India",2025,10,28,19,23,Tuesday,Y29tbWVudDo3NzkxOTc2NjE1MzA1MDVfMTIyNzc4MTUxNTc4Mjg1OA==,Platform_ID,Uncertain
My mother had vaccine acquired polio,0.0,0.0,1.0,81.0,English,Facebook,Joan M Kelstrup,WA State,2024,4,13,17,32,Saturday,Y29tbWVudDoxMjIxNTY0NDc1NzA2MzM3NTZfODc3Mzk3NzA0OTYzNTM2,Platform_ID,Uncertain
What an absolute moron he’s the only thing more dangerous than any vaccine,0.0,0.0,1.0,81.0,English,Facebook,Kaye Clavell,Ontario,2021,3,2,13,5,Tuesday,Y29tbWVudDoxMzcxNzM0Mzc3NjU3NzYzXzE1NzUzMjI2MzY4MTMwNDg=,Platform_ID,Misinformation
@NafdacAgency @NafdacAgency why are you not posting images of those involved along side the drugs just like @ndlea_nigeria we wanna be seeing enemies of Nigeria,0.0,0.0,2.0,268.0,English,Twitter,realsultanoa,"Abuja,  Nigeria",2025,2,21,19,56,Friday,SYN_3713a76e3c126666,Synthetic_ID,Factual
Catch a wake up guys. The measles vaccine has been around for half a century and saved countless lives. It's not some new conspiracy. Measles is deadly and you are putting your children and those around them at risk.,0.0,0.0,1.0,81.0,English,Facebook,Adele Bahlmann,Earth ain't big Enough,2025,9,6,22,56,Saturday,Y29tbWVudDoxMTU1MTIyNDk5OTg0NTUzXzczMjUxNDIxMjg3MzU5NQ==,Platform_ID,Factual
@newstart_2024 Imagine being a NICU nurse seeing progress in these infants only to see them or be the ones to actually poison them with vaccines. It is sickening and so heartbreaking!!,0.0,0.0,26.0,676.0,English,Twitter,MyBestEffort,"Roswell, Georgia",2025,8,25,20,27,Monday,SYN_633820de810d7281,Synthetic_ID,Factual
"@NphcdaNG @4eyedmonk @drfaisalshuaib @Fmohnigeria @NCDCgov @Chikwe_I @WHONigeria @UNICEF_Nigeria @DrEOEhanire @gavi @NGFSecretariat @WMulombo If you who is receiving the vaccine developed by someone else is making history, what about the people who developed the vaccine itself?",0.0,0.0,0.0,0.0,English,Twitter,stanley202,Here and there,2021,3,2,21,43,Tuesday,SYN_e059b28a9d6cd0bc,Synthetic_ID,Uncertain
@ThatPHCBoy They even came to church then to vaccinate some of us. I can’t take Nigerian antivaxxers seriously.,3.0,5.0,141.0,5160.0,English,Twitter,adetola_AA,"Federal Capital Territory, Nig",2024,10,5,17,33,Saturday,SYN_4d40272557fda368,Synthetic_ID,Misinformation
"Nothing helps crooked Big Pharma sell vaccines better than Fear Mongering $$$$

The TRUTH about POLIO 
- 95% of people infected with the polio virus had no symptoms, didn't get sick, and were completely fine
- 4% infected had only minor, flu-like symptoms and recovered
- Less than 1% experience any paralysis, and only a tiny fraction of that 1% suffer long-term paralysis
- the majority of paralysis cases were actually caused by the polio vaccine and the neurotoxin pesticide DDT that was sprayed in schools, pools, on food, and on children
- DDT caused damage to the anterior horn cells of the spinal cord, leading to paralysis. In other words, it produces symptoms clinically identical to paralytic polio
- Cutter Incident, A bad batch of the polio vaccine, containing live polio virus that was not properly “killed,” was injected into children. It caused over 40,000 cases of polio, leaving 200 children permanently paralyzed and 10 dead
- the other batches of polio vaccines injected into Americans were grown on kidney cells from rhesus monkeys contaminated with the SV40 monkey virus that can cause cancer decades later

https://learntherisk.org/vaccines/ingredients/
https://learntherisk.org/vaccines/studies/",0.0,0.0,1.0,81.0,English,Facebook,Aaron Buse,"Lagos, Nigeria",2023,6,10,14,42,Saturday,Y29tbWVudDoxMjY0MzE0NzkyMzk0NTc1XzExNjA5ODMxNzg3MDAyMDY=,Platform_ID,Factual
"@P_McCulloughMD @kapchatfield @US_FDA Thank you for continuing to talk about this. One of my 20 year old sons, forced to get the vax or be kicked out of UVA, ended up in a heart hospital for 7 days with severe peri-myocarditis. Thank you!!",0.0,0.0,3.0,117.0,English,Twitter,DefiantLibre,Nigeria,2024,11,20,15,3,Wednesday,SYN_eb6e3ad834cf2321,Synthetic_ID,Factual
My child is 6 weeks and hard not taking the BCG  vaccine yet,0.0,0.0,1.0,81.0,English,Facebook,Alijatu Seidu,thy kingdom come,2023,4,17,19,30,Monday,Y29tbWVudDo3NzMzNzM4MTU2ODAxMDNfMTI4MTc4MzA3NzAzNzg4MA==,Platform_ID,Uncertain
I cure #autismus #Serbien #Belgrad and NO Vaccins are not responsable for autismus... two diferent Multuversums...,0.0,0.0,1.0,81.0,English,Facebook,Ema Ema,Nigeria,2025,6,29,13,24,Sunday,Y29tbWVudDoxMTE5ODU1NDY2ODQwNTA5Xzk4NTI0Mjg1MTQ4MDg0MTg=,Platform_ID,Uncertain
"@pshegs Even as a paramedic, I think the vaccines are becoming too much. @nphcda",1.0,0.0,4.0,259.0,English,Twitter,FreedomOmon,"Lagos, Nigeria",2024,11,28,10,8,Thursday,SYN_3f4962fb546290a0,Synthetic_ID,Factual
"@IanCopeland5 The mortality rate for malaria is about 14 deaths per 100,000 population at risk — about as deadly as an acute respiratory infection.

It’s a safe bet that the “vaccine” will kill far more people than 14 out of 100,000.",5.0,0.0,8.0,217.0,English,Twitter,JerryMandarin0,"Mandarin, FL",2024,12,4,11,14,Wednesday,SYN_509e97f51943fc28,Synthetic_ID,Misinformation
I just scrolled down and read the comments by Jeffrey J. Ellenberger. He gives a ton of interesting information about the history of polio and links to DDT. Check it out.,0.0,0.0,1.0,81.0,Igbo,Facebook,Janet Krause,United Kingdom,2024,11,30,11,14,Saturday,Y29tbWVudDo4MTk4NzY5NzA5ODU1MjZfMTE2NDY2ODM2NTU4MTQ0NA==,Platform_ID,Uncertain
@NphcdaNG @drfaisalshuaib @Fmohnigeria @NCDCgov @Chikwe_I @WHONigeria @UNICEF_Nigeria @DrEOEhanire @gavi @NGFSecretariat @WMulombo Social distancing.,0.0,0.0,0.0,0.0,English,Twitter,OluJosue,"Lagos, Nigeria",2021,3,2,15,33,Tuesday,SYN_44f9b69cd9ffaa32,Synthetic_ID,Factual
"Exactly what a mother ask the doctor in the clinic today.
The doctor said we should always check ✔️ back every 4weeks after the vaccine is been given.
My son was given Opv1,PENTA 1,PCV1,ROTA1 and IPV1 but I was I don't understand is that it's  three injections he was given. two on the right laps and 1on the other.",0.0,0.0,1.0,81.0,English,Facebook,Omolara Folarin,United States,2024,3,23,22,15,Saturday,Y29tbWVudDo3NzMzNzM4MTU2ODAxMDNfNzg1NTM3NDA0MzA5NjA1,Platform_ID,Factual
"@NicHulscher It's time to lift the veil on CCP virus 🦠and the vaccines 💉.
WATCH this Video.👇🏻

You are the JUDGE.

#CCPVirus  #CCP≠CHINESE #MilesGuo #NFSC 

#takedowntheCCP  #WhistleblowerMovement https://t.co/bCtBwpYxIT",1.0,1.0,2.0,45.0,English,Twitter,forestcui07,"Lagos, Nigeria",2025,7,19,0,21,Saturday,SYN_205fcb655328c438,Synthetic_ID,Uncertain
"@aproko_doctor My friend had a splenectomy and now has reoccurring malaria every 2 months.

I’m worried, can he also be eligible for the vaccine 

But he’s about 28 years old.",0.0,0.0,4.0,750.0,English,Twitter,okorie_valerie,"Lagos, Nigeria",2024,11,28,8,25,Thursday,SYN_d6fbc05422c110f1,Synthetic_ID,Factual
I dont have dyslexia because I took the vaccine lolllllllllllll,0.0,0.0,1.0,81.0,English,Facebook,Renee Utter-Mabry,"Seaside, California, USA",2025,11,5,20,23,Wednesday,Y29tbWVudDoxMTkxOTg4OTczMDI5MjI5XzEyMTMyMDg5OTQwMTI4ODc=,Platform_ID,Uncertain
@VigilantFox @TheRedactedInc actually recommended this book - turtles all the way down - and it get it to this anti- scientific  approach to vaccine development,0.0,0.0,2.0,120.0,English,Twitter,replyfnwater,"Accra, Ghana",2025,3,27,20,40,Thursday,SYN_7c54dfe3da10120d,Synthetic_ID,Uncertain
"@_paulodunayo @muhammadpate
@DrTunjiAlausa 
@NCDCgov
Please look into this. It will do a great deal for the country.

Thank you sirs.",0.0,0.0,0.0,30.0,English,Twitter,babajeeday,Earth ,2024,6,5,10,12,Wednesday,SYN_39c83555a2058acd,Synthetic_ID,Factual
Those vaccines are not mnra,0.0,0.0,1.0,81.0,English,Facebook,Debs Tralala,🌍,2023,5,11,0,35,Thursday,Y29tbWVudDoxMzcwOTY0MTI3NzMyMzk0XzI0NDc4Nzk3NTI4NDA5OTQ0,Platform_ID,Uncertain
"Only person I know that got polio was caused by the vaccine and it was touch and go if he survived or not, luckily he did, so it just makes you wonder how many people this happened to.",0.0,0.0,1.0,81.0,English,Facebook,Nicholas Frost,"Enugu, Nigeria",2025,8,15,10,4,Friday,Y29tbWVudDo4MTk4NzY5NzA5ODU1MjZfMTMxMzIyNzAwMDI4Mzc4OQ==,Platform_ID,Uncertain
"@aproko_doctor Please don't let your children take these vaccines!!!
Please don't let your children take these vaccines!!",1.0,1.0,1.0,213.0,English,Twitter,Ezeala95,Afterlife....,2024,11,28,9,41,Thursday,SYN_960c076933ae7f11,Synthetic_ID,Factual
"@SecKennedy @grok Explain the difference to the Secretary of Health between ethyl mercury and methyl mercury, which one is used in  trace amounts in preservatives in vaccines, and why it does not pose a health risk according to studies.",5.0,25.0,98.0,1907.0,English,Twitter,JamesFLoveIV,"Ohio, USA",2025,11,4,1,28,Tuesday,SYN_2c1b2d6c2778ccb1,Synthetic_ID,Factual
@aproko_doctor Does this mean that no more malaria after taking the vaccine?,5.0,0.0,6.0,9322.0,English,Twitter,queeneth__,United Kingdom,2024,11,28,7,54,Thursday,SYN_e1a8d44a7150f228,Synthetic_ID,Uncertain
Hausawa mutanan mu  Adaure aje ayi rigakafin cutan measles Rubella,0.0,0.0,1.0,81.0,Malay,Facebook,Zainab Dauda,Nigeria,2025,8,23,12,36,Saturday,Y29tbWVudDoxMTM4NjUyNTU4MzYxMjQ4Xzc3NDQ2MzE0ODc0MDUxOQ==,Platform_ID,Uncertain
"@OurFavOnlineDoc Are the children of those introducing this vaccine taking it?

They should lead by example, show us videos of your kids taking this vaccine",1.0,0.0,1.0,416.0,English,Twitter,realTobiAkinbo,"Lagos, Nigeria",2024,11,28,19,54,Thursday,SYN_bc8cc15112441b58,Synthetic_ID,Factual
"Polio is a vaccine adverse reaction. Polio has NEVER been eradicated, they changed the name after adding the polio vaccine to deceive the public. Look around you, many children and adults still suffering paralysis. On many vaccine inserts the potential for Transverse myelitis (Paralysis) is listed as well as Guillain-Barré syndrome (Paralysis). ☠️💉",0.0,0.0,1.0,81.0,English,Facebook,Kari J Lake,REMOTE LIVING ,2024,12,8,16,34,Sunday,Y29tbWVudDoxMjMzODIxMTYyMTAzNjQ5XzExNjg0NzU0Mjc5NDUwMDY=,Platform_ID,Factual
I had the oral polio vaccine in 1960 when I started kindergarten (5 years old). I must say that I never got polio!,0.0,0.0,1.0,81.0,English,Facebook,Christian D Stendel,𝗽𝗮𝗿𝗮𝗱𝗶𝘀𝗲,2024,12,3,21,20,Tuesday,Y29tbWVudDoxMzU3MzM5ODI5MzM3Mjc5Xzg2MTIxMjA4OTg4NTcyOA==,Platform_ID,Uncertain
"@FirstDoctor Then declare hepatitis B as a health emergency and get the citizens immunized or you stop the panic.
Nature has a way of preserving every species no matter how deadly it may be.",0.0,0.0,5.0,488.0,English,Twitter,itumo_zeribe,"Abakaliki, Nigeria",2023,7,29,22,54,Saturday,SYN_4c3e42b5d4e1ca76,Synthetic_ID,Factual
Why not we talk about Poisoning Vaccine 💉 💉 💉 💉 💉 and suddenly died.....,0.0,0.0,1.0,81.0,English,Facebook,Sam Korr,Canada,2024,12,4,0,39,Wednesday,Y29tbWVudDoxMjY0MzE0NzkyMzk0NTc1XzE5NDY1MDk5ODU5MTIwOTQ=,Platform_ID,Misinformation
Nope and never vaccinated.,0.0,0.0,1.0,81.0,English,Facebook,Jesse Peterson,"England, United Kingdom",2025,6,29,23,22,Sunday,Y29tbWVudDoxMzAxMjk0Njg0Nzg0NzMxXzc1Mzc2Njk1NzI0MDgzMA==,Platform_ID,Uncertain
@NphcdaNG @drfaisalshuaib @Fmohnigeria @NCDCgov @Chikwe_I @WHONigeria @UNICEF_Nigeria @DrEOEhanire @gavi @NGFSecretariat @WMulombo Shame on you folks.. Where is the national carrier promised? How about the jamboree that brought this pictures together? Taking pictures of what self? The vaccines that we produced or we were given as life support??,0.0,0.0,1.0,0.0,English,Twitter,empopson,Somewhere Under The Heavens,2021,3,2,19,14,Tuesday,SYN_1f2a6af066763ada,Synthetic_ID,Uncertain
@toluogunlesi I recommend a couple of paracetamol the day after the Astra Zeneca first dose .. the good news from latest research is the vaccine is 94% effective https://t.co/T2LZ5lUSoA,2.0,6.0,19.0,0.0,English,Twitter,CharlieTTEcon,"London, England",2021,3,2,12,15,Tuesday,SYN_2affbdb68eeee339,Synthetic_ID,Uncertain
Gauteng Health Department continuing where civic vax left forcing poisonous free vax for the general public. This time why not give it to the whole Gauteng legislature they need it & SAPS drugs supplier generals,0.0,0.0,1.0,81.0,English,Facebook,Msuthu WaAfrika,"Warri, Nigeria",2025,6,30,19,11,Monday,Y29tbWVudDoxMTU1MTIyNDk5OTg0NTUzXzEzNDAzNDU2NjA5OTExNjQ=,Platform_ID,Factual
@liz_churchill10 Throw in Bill Gates all their CEOs doctors and anyone else who injected this poison,0.0,0.0,1.0,10.0,English,Twitter,JerryButlerSmi1,Lagos Nigeria,2025,11,9,15,31,Sunday,SYN_cdf2be67d9521073,Synthetic_ID,Misinformation
I was too young when Salk vaccine came along to be aware whether it was simply made available (possibly cost subsidized ??) or whether there was any mandate to parents.  but no mandate needed.  parents were terrified of risk of their child getting Polio.   so at least 95% would have gotten their kids vaccinated even if they'd had to walk barefoot over broken glass.,0.0,0.0,1.0,81.0,English,Facebook,Pamela Green,"Manchester, England",2025,6,30,2,9,Monday,Y29tbWVudDoxMzgyMDA5NTc2NjE3MDEzXzEzMjA4ODgyOTY0MjAyNjM=,Platform_ID,Uncertain
@VigilantFox The use of dead baby parts to produce these “vaccines” is also abhorrent,0.0,0.0,7.0,383.0,English,Twitter,wareagleart007,"Alabama, USA",2024,7,7,1,48,Sunday,SYN_4145217bd90eb9c4,Synthetic_ID,Uncertain
"@P_McCulloughMD @kapchatfield @US_FDA Adverse Hematological Effects of COVID-19 Vaccination and Pathomechanisms of Low Acquired Immunity in Patients with Hematological Malignancies
https://t.co/C86wahYLjN",0.0,1.0,1.0,54.0,English,Twitter,Smalling5Jerry,Enerhen Delta State Nigeria ,2024,11,20,20,8,Wednesday,SYN_08639cc49116a750,Synthetic_ID,Uncertain
💯..but i didn't have covid shots..I caught covid and ive had worse colds..lot of hype,0.0,0.0,1.0,81.0,English,Facebook,Patty Nettleton,"Abuja, Nigeria",2023,8,1,3,48,Tuesday,Y29tbWVudDoxMTkxOTg4OTczMDI5MjI5XzE4MTI2NzIxMzkzNzA5MDU=,Platform_ID,Uncertain
Those vaccines are not mnra,0.0,0.0,1.0,81.0,English,Facebook,Debs Tralala,West Ridge,2024,7,2,19,27,Tuesday,Y29tbWVudDoxMzcwOTY0MTI3NzMyMzk0XzI0NDc4Nzk3NTI4NDA5OTQ0,Platform_ID,Uncertain
@_paulodunayo You better avoid vaccines if you love your health.,0.0,0.0,2.0,195.0,English,Twitter,VicKante,WA State,2024,6,4,9,24,Tuesday,SYN_d26b0aa2efea5e55,Synthetic_ID,Misinformation
Immunization is free in all government hospitals .,0.0,0.0,1.0,81.0,Igbo,Facebook,Anu Oluwa Po,India,2025,10,23,16,40,Thursday,Y29tbWVudDo5MDQ0NTQwMzg1MjM4NzlfMTc3NTE5Nzk3MzAyMTMyOA==,Platform_ID,Factual
"@NicHulscher If most batches are harmless, they can point to the fact that many people didn't get sick from the shot. Then repeated ""boosters"" kill off a certain percentage each round.",0.0,0.0,0.0,82.0,English,Twitter,TomKirby169,Jo’burg & Cape Town ,2025,10,6,23,50,Monday,SYN_e32e9e34455c8154,Synthetic_ID,Uncertain
THEN SOMEONE(BERNIE?) APPROVED LETTING ALL THE ILLEGALS INTO THE COUNTRY NOT KNOWING IF THEY HAD THE MEASLES OR NOT. THEN THEY KICKED THEM ALL OVER THE COUNTRY TO SPREAD IT AROUD?,0.0,0.0,1.0,81.0,English,Facebook,Martin Allsopp,Nigeria,2024,11,20,14,20,Wednesday,Y29tbWVudDoxMzcwOTY0MTI3NzMyMzk0XzExMzQ4NjQ0OTgxNDEyNTE=,Platform_ID,Uncertain
"Vaccinate your own children only, simple",0.0,0.0,1.0,81.0,English,Facebook,Jethro Aondohemba Ande,A spinning globe,2025,11,7,7,49,Friday,Y29tbWVudDoxMjY0MDQ4ODcyNDI1OTYwXzYzNzU4MzIzNjEwMDYxOA==,Platform_ID,Factual
@aproko_doctor Can anyone name a single vaccine that works ?,0.0,0.0,1.0,7.0,English,Twitter,Sarkinijebu,FCT,2024,11,28,11,50,Thursday,SYN_223b124b3e428f75,Synthetic_ID,Factual
"Immunization team..... WEAR YOU FACE MASK YO KEEP THE BABY SAFE, BECAUSE YOU VISIT MANY HOMES HMMN.",0.0,0.0,1.0,81.0,Igbo,Facebook,Riolayo Immanuel,"Uyo, Nigeria",2023,10,26,14,54,Thursday,Y29tbWVudDo5MjM4MzMwMzk5MTkzMTJfNDg0NDI1NjYxMzc2MTIy,Platform_ID,Uncertain
"@VigilantFox It's like the majority of the world just trusted all vaccines before covid !
Covid-19 was an awakening for many people, including myself !",3.0,6.0,101.0,3612.0,English,Twitter,LibrarianGirl77,United States,2024,7,7,5,23,Sunday,SYN_d1af55b68cd0dbe0,Synthetic_ID,Uncertain
"In grade 1 a classmate contracted polio and missed months of school. When he returned, he had a pronounced limp as polio had affected one leg. It was a disease we were all afraid of and thankful for the vaccine once it was available.",0.0,0.0,1.0,81.0,English,Facebook,Gayle Cornish, Nigeria,2025,2,22,7,27,Saturday,Y29tbWVudDo3Njk2NDAxNDYxMDQ4OThfMTE3NDEzNTg4NzQyMDU1Mw==,Platform_ID,Factual
Betcha his kids are vaccinated,0.0,0.0,1.0,81.0,English,Facebook,Teresa Gochis,Earth ,2024,9,7,18,55,Saturday,Y29tbWVudDoxMTU2NjQxMTkyOTQ5OTUyXzE5NTAwOTA4OTIyMzA3NTQ=,Platform_ID,Factual
@DrTedros I had the HPV vaccine in 2020… in a couple of weeks I’m going to have several pre-cancerous HPV lesions removed from my colon.,0.0,0.0,4.0,68.0,English,Twitter,highfields2020,Earth ,2023,10,27,0,28,Friday,SYN_4f67704d66cfae30,Synthetic_ID,Uncertain
"@VigilantFox Really, when was the last time you saw polio?",0.0,0.0,1.0,87.0,English,Twitter,eric4ok,Ayers Rock,2024,7,7,4,27,Sunday,SYN_473f9e0da3fc9908,Synthetic_ID,Uncertain
It took 20 years to get the Polio vaccine . How long did it take for the COVID shots ? Yeah that .,0.0,0.0,1.0,81.0,English,Facebook,Patti Emery,"Rémalard en Perche, France",2021,12,8,19,6,Wednesday,Y29tbWVudDoxMzgyMDA5NTc2NjE3MDEzXzE0OTk2MTMwNjE0NjU1NTE=,Platform_ID,Uncertain
@LisettePollet Ceux qui vont crever car leur soignant suffisamment con pour refuser d’être vacciné au pays de Pasteur vous remercie . Vous êtes manifestement très intelligente et une grande scientifique.,2.0,0.0,1.0,58.0,French,Twitter,MNeyret,India ,2025,11,9,22,44,Sunday,SYN_2f653514aac22310,Synthetic_ID,Uncertain
"The @HERFON_NG led consortium, with @Gem_Initiative and @VaccineNet_NG,  with the support of @AHBNetwork, paid an advocacy visit to the Office of the Special Advisor to the President on Health (OSAP-H), @DrSalmaAnas. One of the resolutions from the meeting was to develop a https://t.co/IzsGpf0RaW",1.0,11.0,21.0,424.0,English,Twitter,VaccineNet_NG,日本,2024,1,19,13,54,Friday,"=""1748328039442747573""",Platform_ID,Factual
@aproko_doctor I aint giving me child malaria vaccine,2.0,1.0,78.0,10170.0,English,Twitter,gudboyezay26,"Austin, TX",2024,11,28,13,23,Thursday,SYN_5fad7a32d20f1f6d,Synthetic_ID,Factual
@NphcdaNG @MrJoshuaSampson @drfaisalshuaib @Fmohnigeria @NCDCgov @Chikwe_I @WHONigeria @UNICEF_Nigeria @DrEOEhanire @gavi @NGFSecretariat @WMulombo How is history being made....Is nigeria the first country to receive the vaccine in Africa??,1.0,0.0,3.0,0.0,English,Twitter,ChiefTimmy1,Southern Nigeria,2021,3,2,14,25,Tuesday,SYN_7d56ea0c78c2a663,Synthetic_ID,Factual
"Vaccines cause autism, autoimmune diseases and death. Bernie is a fraud ☠️☠️☠️",0.0,0.0,1.0,81.0,Igbo,Facebook,Steven Don Sosebee,Canada,2025,11,2,9,54,Sunday,Y29tbWVudDoxMzcwOTY0MTI3NzMyMzk0Xzc1ODY5MDE4MDI0NzI3OA==,Platform_ID,Misinformation
"Yes, I've had measles and probably German measles, and also whooping cough.
I've also apparently been infected with polio and tb, though I wasn't actually ill.
I've also had COVID, and I wasn't ill with that either.",0.0,0.0,1.0,81.0,English,Facebook,Nim Wallace,South Africa,2024,7,9,3,26,Tuesday,Y29tbWVudDoxMzAxMjk0Njg0Nzg0NzMxXzc3MjkyOTkxNTI3OTUyNw==,Platform_ID,Uncertain
@HerbalistChief I regret ever taking that COVID-19 jab,0.0,0.0,0.0,49.0,English,Twitter,geenitee,Space,2024,11,30,13,20,Saturday,SYN_691ca6916fd6c027,Synthetic_ID,Uncertain
"never been vaccinated and never been to the hospital with illness.. 
my children arent vaccinated either and they make their counterparts looks soft and weak and a bit retarded.. kinda like you",0.0,0.0,1.0,81.0,English,Facebook,Andros Pirata,Bhubaneswar,2023,7,31,22,48,Monday,Y29tbWVudDoxMTkxOTg4OTczMDI5MjI5XzgzMjQ0NTE1OTE4ODkzOQ==,Platform_ID,Factual
@newstart_2024 Because they poisoned them with the vaccines,0.0,0.0,5.0,278.0,English,Twitter,EarlWinter8,"Nashville, TN",2025,8,25,20,58,Monday,SYN_697fc7e5ec650af4,Synthetic_ID,Uncertain
